2020,3,11,1,1,27,2,118000,1
2020,3,11,1,2,16,2,42000,2
2020,5,15,1,2,16,2,42000,2
2021,8,5,2,1,1,2,0,1
2021,11,25,2,2,66,2,70000,1
2022,3,10,1,1,6,2,65800,6
2022,3,10,1,1,27,2,118000,1
2022,3,10,1,2,16,2,42000,2
2022,3,23,1,2,16,2,42000,2
2022,3,23,2,2,66,2,70000,1
2022,3,23,1,2,27,2,72000,5
2022,3,24,1,1,27,2,118000,1
2022,3,24,1,1,8,2,94000,1
2022,3,24,1,1,27,1,59000,1
2022,3,24,1,1,27,1,59000,1
2022,3,24,1,1,26,2,59000,2
2022,3,24,1,2,9,2,72000,1
2022,3,24,1,2,26,1,24000,5
2022,3,24,1,1,58,2,59000,3
2022,3,24,1,2,14,2,84000,1
2022,3,24,1,1,27,2,59000,3
2022,3,24,1,1,58,1,59000,1
2022,3,24,1,1,58,2,59000,2
2022,3,24,1,1,26,1,59000,1
2022,3,24,1,1,27,1,59000,1
2022,3,24,1,1,3,2,94000,1
